# t_mfem20              err_mfem20               t_spec  err_spec     t_lp      err_lp
  7.35003806200000032   2.10752506568982431e-05  0.0030  0.47862      0.0674    1
  27.31748372100000211  2.38882930444811074e-08  0.0127  0.035417     0.4698    0.0868114
  108.54441394700000956 4.75272461070779547e-12  0.0329  0.00443408   1.4172    0.0179443
  454.35544496800002889 1.74440493030670122e-12  0.0682  0.000755762  3.2122    0.00191264
  ?                     ?                        0.1370  0.000144076  7.8184    0.00012927
  ?                     ?                        0.2416  2.87377e-05  14.6345   3.329e-05
  ?                     ?                        0.3661  7.3598e-06   22.4192   7.29226e-06
  ?                     ?                        0.5228  1.76695e-06  37.9802   1.81273e-06
  ?                     ?                        0.7644  4.09592e-07  62.7345   3.45197e-07
  ?                     ?                        1.1246  1.08336e-07  102.7768  2.35936e-07
